penalty_set,session_id,adversarial,final_trust,mfa_triggers,restrict_hits,block_hits
"Set B (α=0.06, baseline)",46,TRUE,0.25,16,16,1
"Set B (α=0.06, baseline)",47,TRUE,0.6,7,7,0
"Set B (α=0.06, baseline)",48,TRUE,0.84,0,0,0
"Set B (α=0.06, baseline)",49,TRUE,0.42,18,18,0
"Set B (α=0.06, baseline)",50,TRUE,0.41,19,19,0
"Set B (α=0.06, baseline)",51,TRUE,0.52,10,10,0
"Set B (α=0.06, baseline)",52,TRUE,0.18,11,11,8
"Set B (α=0.06, baseline)",53,TRUE,0.63,0,0,0
"Set B (α=0.06, baseline)",54,TRUE,0.32,16,16,2
"Set B (α=0.06, baseline)",55,TRUE,0.49,17,17,0
"Set B (α=0.06, baseline)",56,TRUE,0.58,2,2,0
"Set B (α=0.06, baseline)",57,TRUE,0.52,12,12,0
"Set B (α=0.06, baseline)",58,TRUE,0,6,6,11
"Set B (α=0.06, baseline)",59,TRUE,0.79,0,0,0
"Set B (α=0.06, baseline)",60,TRUE,0.7,1,1,0
"Set B (α=0.06, baseline)",61,TRUE,0.44,14,14,0
"Set B (α=0.06, baseline)",62,TRUE,0.18,6,6,7
"Set B (α=0.06, baseline)",63,TRUE,0.38,7,7,0
"Set B (α=0.06, baseline)",64,TRUE,0.54,5,5,0
"Set B (α=0.06, baseline)",65,TRUE,0.74,0,0,0
"Set B (α=0.06, baseline)",66,TRUE,0.41,17,17,0
"Set B (α=0.06, baseline)",67,TRUE,0.01,4,4,15
"Set B (α=0.06, baseline)",68,TRUE,0.33,15,15,4
"Set B (α=0.06, baseline)",69,TRUE,0.75,6,6,0
"Set B (α=0.06, baseline)",70,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",71,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",72,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",73,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",74,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",75,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",76,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",77,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",78,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",79,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",80,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",81,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",82,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",83,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",84,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",85,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",86,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",87,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",88,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",89,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",90,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",91,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",92,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",93,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",94,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",95,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",96,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",97,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",98,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",99,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",100,FALSE,1,0,0,0
